i,H2,O2,N2,T,mu,muNN,rel_error
990,0.439652,0.556846,0.00350189,1001.74,2.81838e-05,2.82636e-05,0.00283029
991,0.26809,0.283004,0.448906,1863.85,4.91535e-05,4.81603e-05,0.0202068
992,0.689167,0.190926,0.119908,328.731,1.10055e-05,1.14079e-05,0.036566
993,0.0124384,0.56382,0.423742,2119.92,7.35482e-05,7.30945e-05,0.00616788
994,0.161756,0.822321,0.0159238,1750.66,5.59213e-05,5.51402e-05,0.0139669
995,0.433377,0.272782,0.293841,1951.13,4.36008e-05,4.26726e-05,0.0212889
996,0.460984,0.302917,0.236099,304.775,1.21915e-05,1.25128e-05,0.0263587
997,0.469184,0.458727,0.0720889,1892.95,4.20447e-05,4.11388e-05,0.0215449
998,0.052954,0.549704,0.397342,2002.68,6.79704e-05,6.68446e-05,0.0165639
999,0.662774,0.271469,0.0657571,2713.87,4.64492e-05,4.49018e-05,0.0333125
1000,0.865015,0.0134311,0.121554,1808.87,3.13989e-05,3.00729e-05,0.0422308
1001,0.381312,0.255569,0.363118,1036.85,2.96444e-05,2.97134e-05,0.00232619
1002,0.164281,0.356879,0.47884,484.801,2.21267e-05,2.21375e-05,0.000487078
1003,0.50184,0.092032,0.406128,1704.36,3.73318e-05,3.67187e-05,0.0164234
1004,0.276438,0.374777,0.348784,898.218,2.99162e-05,3.01131e-05,0.00658399
1005,0.293487,0.4605,0.246012,2236.05,5.50183e-05,5.36022e-05,0.0257379
1006,0.536259,0.240995,0.222746,2662.73,4.96859e-05,4.81067e-05,0.0317845
1007,0.123167,0.531122,0.345711,1634.81,5.42576e-05,5.35572e-05,0.0129104
1008,0.526651,0.365407,0.107942,1966.1,4.10796e-05,4.01084e-05,0.023642
1009,0.0831639,0.644472,0.272364,1236.26,4.76867e-05,4.78786e-05,0.00402433
1010,0.769936,0.037045,0.193019,1675.44,3.1269e-05,3.02686e-05,0.0319929
1011,0.386221,0.056416,0.557363,2886.86,5.82104e-05,5.61688e-05,0.035073
1012,0.0355591,0.495795,0.468646,1725.69,6.20408e-05,6.18446e-05,0.00316224
1013,0.240104,0.388813,0.371083,337.469,1.59786e-05,1.59301e-05,0.00303133
1014,0.433331,0.0522645,0.514405,342.127,1.32351e-05,1.34702e-05,0.0177665
1015,0.336293,0.423389,0.240319,414.001,1.67706e-05,1.68598e-05,0.00531403
1016,0.146455,0.586954,0.266591,1637.15,5.31036e-05,5.24065e-05,0.0131279
1017,0.180461,0.441436,0.378103,1380.46,4.47235e-05,4.4435e-05,0.00645248
1018,0.384365,0.274646,0.340989,2849.88,5.87075e-05,5.67505e-05,0.0333354
1019,0.654282,0.178515,0.167203,706.675,1.87764e-05,1.87023e-05,0.00394638
1020,0.830519,0.0269385,0.142543,1352.1,2.62638e-05,2.54133e-05,0.0323833
1021,0.180329,0.106213,0.713459,2680.97,6.80664e-05,6.59445e-05,0.0311736
1022,0.0485256,0.0606629,0.890811,885.632,3.66561e-05,3.75455e-05,0.0242631
1023,0.364363,0.311175,0.324462,1821.69,4.42477e-05,4.34267e-05,0.0185549
1024,0.343841,0.381354,0.274805,1970.77,4.78005e-05,4.67559e-05,0.0218535
1025,0.518899,0.0356079,0.445493,1652.49,3.59959e-05,3.54336e-05,0.0156224
1026,0.351216,0.619438,0.0293459,2312.43,5.38794e-05,5.247e-05,0.0261579
1027,0.412836,0.452822,0.134342,2387.14,5.14657e-05,4.99899e-05,0.0286754
1028,0.455307,0.223076,0.321617,1927.56,4.23588e-05,4.14816e-05,0.0207109
1029,0.292785,0.351682,0.355533,758.835,2.62019e-05,2.64102e-05,0.00794905
1030,0.213798,0.325911,0.460291,1703.77,4.91664e-05,4.83499e-05,0.0166077
1031,0.310881,0.583033,0.106086,2973.87,6.62656e-05,6.46114e-05,0.0249637
1032,0.33496,0.157264,0.507776,1349.73,3.66505e-05,3.6442e-05,0.00568793
1033,0.223717,0.559924,0.21636,2263,6.02807e-05,5.88114e-05,0.0243741
1034,0.0295974,0.461339,0.509063,2317.76,7.60751e-05,7.47126e-05,0.0179096
1035,0.0960667,0.453387,0.450547,860.216,3.58059e-05,3.62387e-05,0.0120859
1036,0.51491,0.285454,0.199635,418.624,1.45119e-05,1.4757e-05,0.0168889
1037,0.0891493,0.52782,0.383031,654.499,3.01969e-05,3.0562e-05,0.0120921
1038,0.00736951,0.801618,0.191012,2399.59,8.31119e-05,8.16146e-05,0.018015
1039,0.460712,0.248594,0.290694,2363.58,4.84956e-05,4.71343e-05,0.0280705
1040,0.262005,0.43208,0.305915,1241.66,3.8015e-05,3.79341e-05,0.00212919
1041,0.142175,0.472547,0.385278,231.061,1.3845e-05,1.39416e-05,0.00698194
1042,0.362727,0.441275,0.195999,2591.35,5.6809e-05,5.51034e-05,0.0300224
1043,0.387052,0.48508,0.127869,2477.65,5.40935e-05,5.25108e-05,0.0292585
1044,0.180534,0.409866,0.4096,1521.06,4.76279e-05,4.71007e-05,0.0110691
1045,0.0870994,0.547813,0.365088,2724.77,8.06207e-05,7.82352e-05,0.0295897
1046,0.241758,0.0197607,0.738481,2921.99,6.70256e-05,6.48317e-05,0.0327325
1047,0.31353,0.615588,0.0708824,2093.03,5.22168e-05,5.10206e-05,0.022909
1048,0.543352,0.357287,0.0993619,677.647,1.97815e-05,1.99028e-05,0.00613202
1049,0.321751,0.381255,0.296994,930.866,2.93455e-05,2.95183e-05,0.00588811
1050,0.289794,0.509006,0.201199,2665.46,6.24694e-05,6.07639e-05,0.0273014
1051,0.169971,0.273689,0.55634,1685.83,5.10189e-05,5.01793e-05,0.016457
1052,0.549658,0.143119,0.307222,2953.83,5.24853e-05,5.06596e-05,0.034785
1053,0.349162,0.31555,0.335289,2516.3,5.5853e-05,5.41715e-05,0.0301065
1054,0.370395,0.203876,0.425729,1836.75,4.391e-05,4.30935e-05,0.0185938
1055,0.5276,0.0254895,0.44691,345.053,1.24257e-05,1.27192e-05,0.0236267
1056,0.30386,0.00979754,0.686343,1812.9,4.55483e-05,4.47141e-05,0.0183144
