j,H2,O2,N2,T,mu
9174,0.33765,0.587198,0.075152,2058.15,4.92446e-06
9175,0.428735,0.350376,0.220889,2291.61,4.77412e-06
9176,0.426409,0.466385,0.107206,2222.34,4.7291e-06
9177,0.42196,0.201397,0.376643,2682.73,5.25586e-06
9178,0.149254,0.728052,0.122694,2110.81,6.27929e-06
9179,0.58944,0.0956605,0.3149,879.703,2.24828e-06
9180,0.478797,0.12144,0.399763,832.879,2.34835e-06
9181,0.234909,0.351403,0.413688,1225.92,3.84493e-06
9182,0.637722,0.217805,0.144473,305.104,1.09159e-06
9183,0.367102,0.147465,0.485433,1110.1,3.10885e-06
9184,0.318279,0.377508,0.304213,901.493,2.89251e-06
9185,0.945961,0.0125911,0.0414479,244.932,8.04235e-07
9186,0.216028,0.054237,0.729735,545.86,2.2398e-06
9187,0.917928,0.0191228,0.0629492,366.767,1.06159e-06
9188,0.387836,0.596532,0.0156313,966.369,2.88421e-06
9189,0.0076923,0.231208,0.7611,1424.37,5.38544e-06
9190,0.102189,0.20919,0.688621,1191.02,4.34352e-06
9191,0.57412,0.0940102,0.33187,1883.11,3.71394e-06
9192,0.233681,0.178552,0.587767,1182.97,3.70291e-06
9193,0.48304,0.411363,0.105596,2134.67,4.38537e-06
9194,0.115605,0.414852,0.469544,1663.74,5.43064e-06
9195,0.299062,0.417096,0.283842,1461.34,4.04821e-06
9196,0.37709,0.404926,0.217984,2282.25,4.99934e-06
9197,0.505727,0.30187,0.192403,367.709,1.35478e-06
9198,0.341728,0.328409,0.329863,1126.31,3.25706e-06
9199,0.756242,0.0567957,0.186963,635.152,1.64542e-06
9200,0.396012,0.200283,0.403704,1230.72,3.25361e-06
9201,0.123527,0.563554,0.31292,346.478,1.91092e-06
9202,0.564367,0.15928,0.276353,367.215,1.2895e-06
9203,0.389092,0.142341,0.468566,1190.6,3.18998e-06
9204,0.437199,0.131133,0.431668,1136.87,2.97201e-06
9205,0.682685,0.226375,0.0909392,556.643,1.58554e-06
9206,0.275895,0.487768,0.236337,2395.27,5.73107e-06
9207,0.780711,0.0510944,0.168195,624.162,1.60581e-06
9208,0.359085,0.149333,0.491582,1172.27,3.24436e-06
9209,0.154958,0.339126,0.505916,621.702,2.69162e-06
9210,0.858822,0.0328946,0.108284,641.161,1.57157e-06
9211,0.491159,0.476929,0.0319123,1256.63,3.11142e-06
9212,0.356427,0.228359,0.415213,879.622,2.71386e-06
9213,0.341814,0.209916,0.448271,2867.78,5.88856e-06
9214,0.422329,0.237996,0.339675,1859.98,4.16423e-06
9215,0.588472,0.095886,0.315642,859.938,2.2167e-06
9216,0.247829,0.604259,0.147912,1270.38,3.97e-06
9217,0.525177,0.207862,0.266961,552.421,1.74289e-06
9218,0.555175,0.0567413,0.388084,2178.38,4.12141e-06
9219,0.299506,0.441142,0.259352,2262.16,5.36975e-06
9220,0.123415,0.772748,0.103837,2912.07,8.02182e-06
9221,0.636217,0.0847614,0.279021,714.876,1.9055e-06
9222,0.778946,0.217288,0.00376613,800.47,1.9058e-06
9223,0.126264,0.109911,0.763824,1851.44,5.5495e-06
9224,0.551201,0.10457,0.344229,826.89,2.21641e-06
9225,0.80739,0.0448782,0.147732,532.445,1.42768e-06
9226,0.427462,0.193072,0.379467,1841.56,4.10709e-06
9227,0.0508309,0.620555,0.328614,1068.91,4.52858e-06
9228,0.148542,0.246739,0.604719,1169.55,4.07726e-06
9229,0.728376,0.0632885,0.208336,646.211,1.68962e-06
9230,0.255351,0.388678,0.355971,2183.41,5.47213e-06
9231,0.105293,0.208467,0.68624,1542.32,5.11508e-06
9232,0.627025,0.0869032,0.286072,640.657,1.78386e-06
9233,0.708717,0.0678688,0.223414,538.721,1.51647e-06
9234,0.37101,0.404252,0.224738,1042.36,3.03214e-06
9235,0.440073,0.0661144,0.493812,1849.08,4.04014e-06
9236,0.603353,0.0924188,0.304228,996.345,2.41549e-06
9237,0.381821,0.41132,0.206859,1583.49,3.9378e-06
9238,0.710671,0.280122,0.00920685,796.08,1.97728e-06
9239,0.323845,0.480393,0.195761,476.703,1.90008e-06
9240,0.260592,0.298249,0.441159,2033.74,5.15763e-06
9241,0.445533,0.129191,0.425276,1156.25,2.9844e-06
9242,0.38511,0.149912,0.464979,2229.83,4.79805e-06
9243,0.10217,0.499194,0.398637,1550.31,5.32957e-06
9244,0.318946,0.158686,0.522369,1058.98,3.1546e-06
9245,0.0960042,0.210631,0.693365,1293.07,4.61634e-06
9246,0.0992335,0.397859,0.502908,1440.29,5.04023e-06
9247,0.279932,0.167776,0.552292,1075.58,3.3136e-06
9248,0.144578,0.302909,0.552513,2883.87,7.36481e-06
9249,0.175026,0.516951,0.308023,768.779,3.08416e-06
9250,0.49166,0.258842,0.249498,1712.42,3.74295e-06
9251,0.419213,0.135323,0.445463,1061.59,2.88557e-06
9252,0.0832327,0.368354,0.548413,1167.61,4.46996e-06
9253,0.0838047,0.213474,0.702722,1434.83,5.01121e-06
9254,0.882429,0.0273939,0.0901766,492.405,1.30827e-06
9255,0.242711,0.0332337,0.724055,2841.82,6.36124e-06
9256,0.362491,0.474602,0.162907,2439.98,5.31674e-06
9257,0.272279,0.327586,0.400135,1055.22,3.34391e-06
9258,0.24462,0.344106,0.411274,235.376,1.24404e-06
9259,0.102249,0.54298,0.35477,2428.31,7.14431e-06
9260,0.476101,0.399263,0.124636,845.281,2.4202e-06
9261,0.343678,0.152923,0.503399,1104.74,3.16681e-06
9262,0.372255,0.146265,0.48148,1203.2,3.2603e-06
9263,0.197989,0.0834466,0.718565,640.136,2.54821e-06
9264,0.146037,0.675532,0.17843,713.269,3.09239e-06
9265,0.432918,0.286604,0.280478,249.344,1.09561e-06
9266,0.434242,0.117885,0.447872,2418.91,4.84058e-06
9267,0.1315,0.547439,0.321061,1910.41,5.90572e-06
9268,0.271752,0.314354,0.413894,1361.6,3.94288e-06
9269,0.640174,0.0838394,0.275986,667.886,1.81816e-06
9270,0.420381,0.100989,0.478631,704.346,2.19964e-06
9271,0.289794,0.349969,0.360237,2574.73,5.84695e-06
9272,0.0506836,0.536908,0.412409,2163.52,7.06349e-06
9273,0.67383,0.0759976,0.250172,611.612,1.6817e-06
9274,0.438981,0.317754,0.243266,2952.78,5.55711e-06
9275,0.357236,0.149764,0.493,1106.68,3.13071e-06
9276,0.146761,0.198805,0.654434,1361.34,4.4859e-06
9277,0.057375,0.512936,0.429689,607.27,3.03795e-06
9278,0.0979871,0.41373,0.488283,1512.39,5.2195e-06
9279,0.205716,0.424301,0.369984,1579.72,4.71384e-06
9280,0.340111,0.471934,0.187955,278.397,1.29321e-06
9281,0.731981,0.199598,0.0684209,1620.1,3.08127e-06
9282,0.4339,0.131901,0.434199,1116.71,2.94571e-06
9283,0.137348,0.200998,0.661654,1271.6,4.34147e-06
9284,0.136604,0.321975,0.54142,444.541,2.18432e-06
9285,0.399193,0.510781,0.0900262,2901.44,5.76317e-06
9286,0.945997,0.0125827,0.0414204,590.27,1.43107e-06
9287,0.281268,0.167464,0.551267,1296.84,3.73603e-06
9288,0.135519,0.482408,0.382073,864.2,3.48526e-06
9289,0.315978,0.375249,0.308772,941.262,2.98149e-06
9290,0.28263,0.167147,0.550223,1054.7,3.26254e-06
9291,0.281532,0.167403,0.551065,1206.46,3.56428e-06
9292,0.086613,0.406311,0.507076,887.864,3.73672e-06
9293,0.0493583,0.579692,0.37095,1748.67,6.20691e-06
9294,0.855562,0.0336541,0.110784,537.916,1.40369e-06
9295,0.17086,0.558164,0.270975,1944.73,5.69303e-06
9296,0.493997,0.117899,0.388104,773.059,2.21092e-06
9297,0.573921,0.0992763,0.326802,824.107,2.17724e-06
9298,0.587256,0.0961694,0.316575,666.314,1.87796e-06
9299,0.307609,0.336779,0.355612,1639.44,4.29357e-06
9300,0.282867,0.133346,0.583786,1783.66,4.56774e-06
9301,0.860157,0.0325834,0.107259,446.166,1.23929e-06
9302,0.261666,0.172032,0.566302,1231.23,3.68717e-06
9303,0.169199,0.193577,0.637224,1237.5,4.1051e-06
9304,0.170547,0.507566,0.321887,2857.01,7.24869e-06
9305,0.351935,0.507293,0.140772,1150.84,3.31762e-06
9306,0.204783,0.412064,0.383153,1778.51,5.08683e-06
9307,0.216203,0.302415,0.481382,1707.66,4.84026e-06
9308,0.18718,0.189387,0.623433,1317.74,4.18607e-06
9309,0.592114,0.0950374,0.312849,627.86,1.80037e-06
9310,0.898657,0.0236129,0.0777299,650.527,1.55712e-06
9311,0.507549,0.119781,0.37267,1849.38,3.85169e-06
9312,0.452608,0.127542,0.41985,1037.05,2.76518e-06
9313,0.601377,0.0928792,0.305744,981.429,2.39505e-06
9314,0.321034,0.325932,0.353033,2753.97,5.90629e-06
9315,0.46535,0.511173,0.023477,677.345,2.12657e-06
9316,0.121258,0.406152,0.47259,1936.7,5.93946e-06
9317,0.408571,0.137803,0.453626,887.549,2.59123e-06
9318,0.190089,0.401552,0.408359,2213.26,5.94818e-06
9319,0.235204,0.178197,0.586598,1214.23,3.75981e-06
9320,0.367138,0.276166,0.356696,1691.39,4.12075e-06
9321,0.873943,0.0293714,0.096686,588.964,1.47634e-06
9322,0.512912,0.251292,0.235796,1401.13,3.2358e-06
9323,0.11171,0.404174,0.484116,2140.25,6.40653e-06
9324,0.350435,0.0861554,0.56341,698.677,2.32028e-06
9325,0.854192,0.0339734,0.111835,578.816,1.47345e-06
9326,0.81025,0.0442117,0.145538,638.903,1.60589e-06
9327,0.864811,0.0314989,0.10369,591.804,1.48738e-06
