j,H2,O2,N2,T,mu
8772,0.801797,0.148841,0.0493621,2127.67,3.6323e-05
8773,0.28986,0.423826,0.286314,714.552,2.53772e-05
8774,0.370973,0.248208,0.380819,2483.61,5.40131e-05
8775,0.399722,0.554497,0.0457811,1486.64,3.80533e-05
8776,0.566681,0.387683,0.0456364,1912.53,3.92668e-05
8777,0.593838,0.345659,0.0605032,2891.01,5.08201e-05
8778,0.414345,0.258856,0.326798,1610.81,3.88602e-05
8779,0.278949,0.262155,0.458896,2192.04,5.41835e-05
8780,0.404957,0.358012,0.237031,2382.57,5.13985e-05
8781,0.0997126,0.742664,0.157623,2212.62,7.04171e-05
8782,0.233591,0.377576,0.388833,2850.9,6.8617e-05
8783,0.699867,0.219967,0.080166,471.973,1.3976e-05
8784,0.292546,0.49962,0.207835,1071.5,3.35324e-05
8785,0.273745,0.158657,0.567598,1516.6,4.20451e-05
8786,0.40891,0.457663,0.133427,1096.13,3.05098e-05
8787,0.197806,0.572364,0.229831,529.616,2.31204e-05
8788,0.0427044,0.70759,0.249706,1598.69,6.01014e-05
8789,0.354622,0.188086,0.457292,1573.51,4.0048e-05
8790,0.354451,0.312369,0.33318,720.139,2.38067e-05
8791,0.368712,0.0829789,0.548309,2697.42,5.65469e-05
8792,0.146217,0.433014,0.420769,278.689,1.55979e-05
8793,0.0502067,0.118158,0.831635,1805.73,6.01352e-05
8794,0.460207,0.085525,0.454268,2491.27,4.97352e-05
8795,0.310692,0.241895,0.447414,680.521,2.3711e-05
8796,0.375304,0.48092,0.143776,2914.74,6.10005e-05
8797,0.229509,0.301948,0.468543,2097.16,5.55502e-05
8798,0.503803,0.0394342,0.456762,1424.71,3.29225e-05
8799,0.312992,0.384827,0.302181,1261.51,3.63759e-05
8800,0.532353,0.0121644,0.455483,1752.19,3.70477e-05
8801,0.267026,0.490843,0.24213,1833.99,4.95424e-05
8802,0.558471,0.322105,0.119424,964.244,2.47852e-05
8803,0.603488,0.180697,0.215815,1449.24,3.14154e-05
8804,0.481697,0.307219,0.211083,2515.53,4.99631e-05
8805,0.239472,0.729244,0.0312839,808.104,2.98623e-05
8806,0.150304,0.000812918,0.848883,2030.17,5.76258e-05
